Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,SiglaUf,CodMunicipio,DesignacaoEmissao,FreqInicialMHz,FreqFinalMHz,Azimute,CodTipoClasseEstacao,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataPrimeiroLicenciamento
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,5M00G9W,2155.00000000,2165.00000000,112.0,FB,396,005200301293,11.2,23.0,65.00,.00,X,45.0,018930701882,40.000,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,5M00G9W,869.00000000,880.00000000,112.0,FB,396,005200301293,11.2,23.0,65.00,.00,X,45.0,019980701882,45.000,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,200KG7W,890.00000000,891.50000000,138.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,38.0,000910502519,32.500,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,200KG7W,890.00000000,891.50000000,278.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,38.0,000910502519,32.500,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,200KG7W,890.00000000,891.50000000,23.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,38.0,000910502519,32.500,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,5M00G9W,890.00000000,891.50000000,262.0,FB,396,005200301293,11.2,23.0,65.00,.00,X,45.0,019980701882,45.000,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,200KG7W,1850.00000000,1860.00000000,278.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,38.0,006030301882,35.300,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,59072012,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,20M0G7W,2670.00000000,2690.00000000,322.0,FB,396,011021100324,16.4,28.0,74.60,.00,X,35.0,024251201882,30.000,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,200KG7W,869.00000000,880.00000000,278.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,38.0,000910502519,32.500,09S581929,67W484880,27/11/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71842009,64300,"RUA  FLORIANO PEIXOTO ,368,CENTRO",AC,1200401,200KG7W,869.00000000,880.00000000,23.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,38.0,000910502519,32.500,09S581929,67W484880,27/11/2000
