Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,SiglaUf,CodMunicipio,DesignacaoEmissao,FreqInicialMHz,FreqFinalMHz,Azimute,CodTipoClasseEstacao,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataPrimeiroLicenciamento
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,17012008,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,5M00G7W,2155,2165,30,FB,760,056001603518,"17,0",25,64,4,X,50,008041101882,40,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,17012008,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,5M00G7W,2155,2165,270,FB,760,056001603518,"17,0",25,64,4,X,50,008041101882,40,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1830,1832.5,150,FB,760,056001603518,"16,5",25,69,6,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1830,1832.5,270,FB,760,056001603518,"16,5",25,69,4,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,17012008,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,5M00G7W,2155,2165,150,FB,760,056001603518,"17,0",25,64,6,X,50,008041101882,40,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,5M00G7W,880,890,30,FB,760,056001603518,"14,2",25,67,8,X,50,000081201882,40,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1860,1865,150,FB,760,056001603518,"16,5",25,69,6,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,5M00G7W,880,890,150,FB,760,056001603518,"14,2",25,67,8,X,50,000081201882,40,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1830,1832.5,30,FB,760,056001603518,"16,5",25,69,6,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1860,1865,30,FB,760,056001603518,"16,5",25,69,6,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1865,1870,30,FB,760,056001603518,"16,5",25,69,6,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,1865,1870,150,FB,760,056001603518,"16,5",25,69,6,X,50,101201882,74,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,880,890,30,FB,760,007690501705,15,30,87,8,X,45,910502519,32.6,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,880,890,150,FB,760,007690501705,15,30,87,8,X,45,910502519,32.6,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,880,890,270,FB,760,007690501705,15,30,87,4,X,45,910502519,32.6,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,891.5,894,270,FB,760,007690501705,15,30,87,4,X,45,910502519,32.6,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,200KG7W,891.5,894,150,FB,760,000650501705,"15,5",25,68,8,X,45,910502519,32.6,00N025100,51W033200,23/11/1999
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,17012008,442820518,"AVENIDA NAÇÕES UNIDAS,994,JESUS DE NAZARÉ",AP,1600303,5M00G7W,2155,2165,30,FB,760,007690501705,"17,8",35,90,6,X,45,008041101882,40,00N025100,51W033200,23/11/1999
