Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,SiglaUf,CodMunicipio,DesignacaoEmissao,FreqInicialMHz,FreqFinalMHz,Azimute,CodTipoClasseEstacao,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataPrimeiroLicenciamento
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,2155.00000000,2165.00000000,340.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,018930701882,40.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,1850.00000000,1860.00000000,108.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,35.0,006030301882,35.300,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,869.00000000,880.00000000,108.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,35.0,000910502519,32.500,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,869.00000000,880.00000000,80.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,019980701882,45.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,869.00000000,880.00000000,340.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,019980701882,45.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,890.00000000,891.50000000,220.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,35.0,000910502519,32.500,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,890.00000000,891.50000000,80.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,019980701882,45.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,71822008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,890.00000000,891.50000000,190.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,019980701882,45.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,17012008,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,5M00G9W,2155.00000000,2165.00000000,190.0,FB,396,026960904280,13.9,28.0,71.00,.00,X,66.0,018930701882,40.000,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,1850.00000000,1860.00000000,10.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,45.0,006030301882,35.300,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,35312011,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,200KG7W,1850.00000000,1860.00000000,220.0,FB,396,007690501705,14.3,26.0,82.00,.00,X,35.0,006030301882,35.300,08S453206,63W523119,02/08/2000
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,010,59072012,29874,"Avenida Sete de Setembro,s/n,Nova Porto Velho",RO,1100205,20M0G7W,2670.00000000,2690.00000000,210.0,FB,817,011021100324,16.4,28.0,74.60,.00,V,36.0,024251201882,30.000,08S453206,63W523119,02/08/2000
